date,maturity,yield
2023-01-01,1.0,0.0155
2023-01-01,3.0,0.0165
2023-01-01,5.0,0.017499999999999998
2023-01-01,7.0,0.0185
2023-01-01,10.0,0.02
2023-01-02,1.0,0.015752441295442367
2023-01-02,3.0,0.01675244129544237
2023-01-02,5.0,0.017752441295442366
2023-01-02,7.0,0.018752441295442367
2023-01-02,10.0,0.020252441295442368
2023-01-03,1.0,0.015772789228047705
2023-01-03,3.0,0.016772789228047705
2023-01-03,5.0,0.017772789228047703
2023-01-03,7.0,0.018772789228047704
2023-01-03,10.0,0.020272789228047705
2023-01-04,1.0,0.01554233600241796
2023-01-04,3.0,0.01654233600241796
2023-01-04,5.0,0.017542336002417957
2023-01-04,7.0,0.018542336002417958
2023-01-04,10.0,0.02004233600241796
2023-01-05,1.0,0.015272959251407621
2023-01-05,3.0,0.016272959251407624
2023-01-05,5.0,0.01727295925140762
2023-01-05,7.0,0.018272959251407622
2023-01-05,10.0,0.019772959251407624
