metric,tenor,value,other_tenor
mean,2,19.82731003391472,
median,2,21.643329301941378,
std,2,13.833346688217114,
min,2,-13.712097471978439,
max,2,45.28344123927661,
iqr,2,21.52629275734226,
mean,5,21.9603868677648,
median,5,21.520143953827073,
std,5,5.94467649828171,
min,5,8.806637523581799,
max,5,34.17729701391312,
iqr,5,9.1709348928714,
mean,10,24.514742655924945,
median,10,23.537087618726844,
std,10,6.374930667491224,
min,10,8.586873579077292,
max,10,43.80301747801684,
iqr,10,8.891716010919197,
mean,20,13.655216768822864,
median,20,13.996006882373024,
std,20,5.776002756094133,
min,20,-3.549779276641459,
max,20,27.95190265064474,
iqr,20,5.98399668103265,
pearson_corr,5,0.7742341824499007,2.0
pearson_corr,10,0.49221722591463307,2.0
pearson_corr,10,0.7483382900831356,5.0
pearson_corr,20,-0.08059765819986699,2.0
pearson_corr,20,0.28109674993125805,5.0
pearson_corr,20,0.5314914689641709,10.0
spearman_corr,5,0.7702943220657595,2.0
spearman_corr,10,0.47585964223914184,2.0
spearman_corr,10,0.7562949902099767,5.0
spearman_corr,20,-0.12052937687697385,2.0
spearman_corr,20,0.2559583697979265,5.0
spearman_corr,20,0.5243542756168204,10.0
