# Source: planC_discover_extend.py
# Generated: 2025-10-13 21:23:29Z
# Regime-specific AR(1) estimates on m with minimum segment size 60 observations.
tenor,regime_id,segment_start,segment_end,n_obs,rho,hl_days
2,0,2010-01-04,2010-03-30,60,0.24864753312133547,0.49805113166856374
2,5,2010-07-12,2012-02-22,405,0.7940465843472739,3.005670680900898
2,33,2012-04-16,2012-07-18,66,0.763227269286221,2.5653169674802982
2,34,2012-07-19,2013-02-12,141,0.8545821710469798,4.410943307048808
2,103,2013-07-25,2014-02-25,146,0.834295578523019,3.826001190633598
2,111,2014-03-12,2014-07-10,84,0.8393988471916229,3.9592731266832306
2,126,2014-08-04,2014-12-15,91,0.5669646815762113,1.2214945497230048
2,159,2015-02-05,2015-06-17,90,0.6626716376093259,1.6845398546475874
2,162,2015-07-09,2016-02-16,132,0.8039796295223386,3.1769314451250987
2,177,2016-03-30,2017-02-21,217,0.7207705561051061,2.116903822784531
2,188,2017-03-16,2018-02-23,235,0.915704418229208,7.871157874272462
2,197,2018-03-08,2018-07-27,99,0.5956876772616506,1.3380217975393827
2,198,2018-07-30,2019-01-25,122,0.7564773594527646,2.4836625293667383
2,230,2019-06-28,2020-01-30,147,0.8212863228581168,3.520595915812531
2,247,2020-03-04,2021-01-28,227,0.7901450773621739,2.9428164313299976
2,275,2021-03-18,2021-07-13,82,0.671149409199374,1.7382412883487337
2,276,2021-07-14,2022-01-26,135,0.6523004094493065,1.622345378521651
2,317,2022-06-29,2023-02-10,155,0.7559695924769408,2.477701374581389
2,340,2023-06-01,2024-02-22,182,0.9100540888408458,7.354249756901689
2,350,2024-03-07,2024-12-31,205,0.9032157912462659,6.809327275408251
5,0,2010-01-04,2010-03-30,60,0.36028607102515336,0.6789856306594086
5,43,2010-08-19,2011-01-28,111,0.6397633795467542,1.5518560115843438
5,104,2011-07-26,2013-02-08,386,0.834715140055086,3.8366484587205836
5,176,2013-08-20,2014-03-03,132,0.8101773975013293,3.292828709364258
5,195,2014-04-03,2015-01-20,199,0.823912488683922,3.5786243640602957
5,208,2015-04-03,2015-07-01,63,0.7290733410303742,2.1936359993305072
5,210,2015-07-06,2016-03-01,164,0.805381605713773,3.2025048993704863
5,225,2016-03-24,2017-03-09,240,0.7885133185170105,2.917212670330923
5,228,2017-03-21,2018-06-26,319,0.8350284391226785,3.8446343042342694
5,242,2018-07-26,2019-02-21,142,0.8602119761942296,4.603291180457347
5,250,2019-03-12,2020-01-30,223,0.8792345684582763,5.385610065419786
5,269,2020-06-08,2021-01-26,159,0.7795042467505444,2.7826380251858422
5,299,2021-04-08,2021-07-01,60,0.46302227645406624,0.9002143939457368
5,300,2021-07-02,2022-04-28,206,0.46704865393255995,0.9104522445779053
5,341,2022-08-25,2023-02-02,109,0.7025350943776008,1.9632564790438467
5,353,2023-06-29,2024-02-22,163,0.684426406798152,1.8280443789126948
5,358,2024-03-04,2024-12-31,208,0.7427329790101569,2.3305435221730075
10,0,2010-01-04,2010-03-30,60,0.7806634989569696,2.799338289722753
10,137,2012-01-05,2013-02-12,277,0.8876501029338089,5.816084038081892
10,189,2013-09-23,2014-07-23,208,0.8210641947839712,3.515765569970068
10,190,2014-07-24,2015-01-28,128,0.8309702808667628,3.7434786628447525
10,194,2015-03-26,2017-02-09,471,0.8447833348989475,4.109362968857602
10,197,2017-02-15,2018-02-01,242,0.8180606153676453,3.451604289149067
10,217,2018-03-09,2020-03-10,500,0.7170539911996967,2.0840004613861147
10,223,2020-06-23,2021-01-27,149,0.7450359130357089,2.3550572631773017
10,280,2021-04-19,2021-07-27,70,0.54751864074003,1.1507214870855378
10,284,2021-08-09,2022-02-28,139,0.5229847975242026,1.0693367748829363
10,355,2023-06-22,2023-10-02,71,0.577955828552158,1.2642722767348424
10,375,2023-11-13,2024-10-28,240,0.7760686163021512,2.73415374273934
20,0,2010-01-04,2010-03-30,60,0.7141620070785043,2.058982818950923
20,124,2012-03-07,2012-09-13,134,0.8553813793436478,4.437338921362936
20,125,2012-09-14,2012-12-12,60,0.5508279667126116,1.162349701054884
20,126,2012-12-13,2013-06-05,119,0.6532938271114967,1.6281445311896288
20,175,2014-02-06,2014-12-26,223,0.7678607832224975,2.6240980055294316
20,215,2015-08-18,2015-11-30,71,0.6379911809329752,1.542277813815816
20,246,2016-02-25,2016-07-14,98,0.6758419522573691,1.7691531556404962
20,254,2016-10-07,2017-02-13,86,0.7861054703839431,2.8801411498447953
20,291,2017-04-07,2018-02-21,219,0.8366623053854785,3.88677578239915
20,296,2018-03-06,2020-03-12,505,0.7168334224885484,2.0820745890916528
20,298,2020-03-16,2020-07-07,79,0.49147424011888524,0.9757884510230195
20,299,2020-07-08,2021-02-18,154,0.7680652373578154,2.6267454580452734
20,327,2021-03-30,2021-09-08,114,0.7799822159302326,2.7895024839499234
20,331,2021-10-29,2022-01-26,60,0.35680875562456615,0.6725957880635216
20,415,2023-06-27,2023-09-28,66,0.7615643728133176,2.544774633917412
20,436,2023-12-12,2024-11-19,235,0.8219047986676449,3.53410840129675
