# Source: planC_discover_extend.py
# Generated: 2025-10-13 21:23:29Z
# Empirical hazard that |arb| above 95th percentile reverts under horizon h.
# Events defined on first crossing above threshold.
tenor,horizon_days,n_events,hazard,avg_revert_days
2,1,70,0.4857142857142857,3.9714285714285715
2,3,70,0.7285714285714285,3.9714285714285715
2,5,70,0.8428571428571429,3.9714285714285715
2,10,70,0.9,3.9714285714285715
5,1,38,0.39473684210526316,7.052631578947368
5,3,38,0.5,7.052631578947368
5,5,38,0.631578947368421,7.052631578947368
5,10,38,0.868421052631579,7.052631578947368
10,1,40,0.4,6.975
10,3,40,0.55,6.975
10,5,40,0.625,6.975
10,10,40,0.85,6.975
20,1,47,0.40425531914893614,5.957446808510638
20,3,47,0.574468085106383,5.957446808510638
20,5,47,0.7659574468085106,5.957446808510638
20,10,47,0.9148936170212766,5.957446808510638
