trade_dt,cusip,price,par,coupon,maturity,years_to_maturity
2023-01-01,9128285M8,100,1000000,0.02,2028-01-01,5.0
2023-01-01,912828Z60,100,1000000,0.0225,2030-01-01,7.0
2023-01-02,9128285M8,101,1000000,0.02,2028-01-02,5.0
2023-01-02,912828Z60,101,1000000,0.0225,2030-01-02,7.0
2023-01-03,9128285M8,102,1000000,0.02,2028-01-03,5.0
2023-01-03,912828Z60,102,1000000,0.0225,2030-01-03,7.0
2023-01-04,9128285M8,103,1000000,0.02,2028-01-04,5.0
2023-01-04,912828Z60,103,1000000,0.0225,2030-01-04,7.0
2023-01-05,9128285M8,104,1000000,0.02,2028-01-05,5.0
2023-01-05,912828Z60,104,1000000,0.0225,2030-01-05,7.0
2023-01-06,9128285M8,105,1000000,0.02,2028-01-06,5.0
2023-01-06,912828Z60,105,1000000,0.0225,2030-01-06,7.0
2023-01-07,9128285M8,106,1000000,0.02,2028-01-07,5.0
2023-01-07,912828Z60,106,1000000,0.0225,2030-01-07,7.0
2023-01-08,9128285M8,107,1000000,0.02,2028-01-08,5.0
2023-01-08,912828Z60,107,1000000,0.0225,2030-01-08,7.0
2023-01-09,9128285M8,108,1000000,0.02,2028-01-09,5.0
2023-01-09,912828Z60,108,1000000,0.0225,2030-01-09,7.0
2023-01-10,9128285M8,109,1000000,0.02,2028-01-10,5.0
2023-01-10,912828Z60,109,1000000,0.0225,2030-01-10,7.0
2023-01-11,9128285M8,110,1000000,0.02,2028-01-11,5.0
2023-01-11,912828Z60,110,1000000,0.0225,2030-01-11,7.0
2023-01-12,9128285M8,111,1000000,0.02,2028-01-12,5.0
2023-01-12,912828Z60,111,1000000,0.0225,2030-01-12,7.0
2023-01-13,9128285M8,112,1000000,0.02,2028-01-13,5.0
2023-01-13,912828Z60,112,1000000,0.0225,2030-01-13,7.0
2023-01-14,9128285M8,113,1000000,0.02,2028-01-14,5.0
2023-01-14,912828Z60,113,1000000,0.0225,2030-01-14,7.0
2023-01-15,9128285M8,114,1000000,0.02,2028-01-15,5.0
2023-01-15,912828Z60,114,1000000,0.0225,2030-01-15,7.0
2023-01-16,9128285M8,115,1000000,0.02,2028-01-16,5.0
2023-01-16,912828Z60,115,1000000,0.0225,2030-01-16,7.0
2023-01-17,9128285M8,116,1000000,0.02,2028-01-17,5.0
2023-01-17,912828Z60,116,1000000,0.0225,2030-01-17,7.0
2023-01-18,9128285M8,117,1000000,0.02,2028-01-18,5.0
2023-01-18,912828Z60,117,1000000,0.0225,2030-01-18,7.0
2023-01-19,9128285M8,118,1000000,0.02,2028-01-19,5.0
2023-01-19,912828Z60,118,1000000,0.0225,2030-01-19,7.0
2023-01-20,9128285M8,119,1000000,0.02,2028-01-20,5.0
2023-01-20,912828Z60,119,1000000,0.0225,2030-01-20,7.0
2023-01-21,9128285M8,120,1000000,0.02,2028-01-21,5.0
2023-01-21,912828Z60,120,1000000,0.0225,2030-01-21,7.0
2023-01-22,9128285M8,121,1000000,0.02,2028-01-22,5.0
2023-01-22,912828Z60,121,1000000,0.0225,2030-01-22,7.0
2023-01-23,9128285M8,122,1000000,0.02,2028-01-23,5.0
2023-01-23,912828Z60,122,1000000,0.0225,2030-01-23,7.0
2023-01-24,9128285M8,123,1000000,0.02,2028-01-24,5.0
2023-01-24,912828Z60,123,1000000,0.0225,2030-01-24,7.0
2023-01-25,9128285M8,124,1000000,0.02,2028-01-25,5.0
2023-01-25,912828Z60,124,1000000,0.0225,2030-01-25,7.0
2023-01-26,9128285M8,125,1000000,0.02,2028-01-26,5.0
2023-01-26,912828Z60,125,1000000,0.0225,2030-01-26,7.0
2023-01-27,9128285M8,126,1000000,0.02,2028-01-27,5.0
2023-01-27,912828Z60,126,1000000,0.0225,2030-01-27,7.0
2023-01-28,9128285M8,127,1000000,0.02,2028-01-28,5.0
2023-01-28,912828Z60,127,1000000,0.0225,2030-01-28,7.0
2023-01-29,9128285M8,128,1000000,0.02,2028-01-29,5.0
2023-01-29,912828Z60,128,1000000,0.0225,2030-01-29,7.0
2023-01-30,9128285M8,129,1000000,0.02,2028-01-30,5.0
2023-01-30,912828Z60,129,1000000,0.0225,2030-01-30,7.0
2023-01-31,9128285M8,130,1000000,0.02,2028-01-31,5.0
2023-01-31,912828Z60,130,1000000,0.0225,2030-01-31,7.0
