# Strategy 3 parameter estimates
# Includes state-space and regime-switching parameters with half-life translations where applicable
tenor,model,parameter,value,half_life_days
2,state_space,phi,0.9064006775205584,7.0532230046708095
2,state_space,sigma2.irregular,2.702648947298488,
2,state_space,sigma2.level,3.6586471424325353,
2,state_space,sigma2.ar,3.790032667271471e-12,
2,state_space,ar.L1,0.9064006775205584,
5,state_space,phi,0.7129952605030001,2.0490308148754313
5,state_space,sigma2.irregular,0.9729229012482585,
5,state_space,sigma2.level,0.9073968723729837,
5,state_space,sigma2.ar,8.567172879806644e-08,
5,state_space,ar.L1,0.7129952605030001,
10,state_space,phi,0.7566770304698869,2.486013419748419
10,state_space,sigma2.irregular,1.2823283338804445,
10,state_space,sigma2.level,1.3069515887980214,
10,state_space,sigma2.ar,2.1577157785568698e-09,
10,state_space,ar.L1,0.7566770304698869,
20,state_space,phi,0.9588799070856088,16.507655120965854
20,state_space,sigma2.irregular,0.6371466382456217,
20,state_space,sigma2.level,0.15832870772180302,
20,state_space,sigma2.ar,2.139037140269582,
20,state_space,ar.L1,0.9588799070856088,
2,markov_ar,p[0->0],0.954471677593884,
2,markov_ar,p[1->0],0.11946384121996866,
2,markov_ar,const[0],-0.0009769004266733823,
2,markov_ar,const[1],0.013512874933507078,
2,markov_ar,x1[1],0.006057357970238825,
2,markov_ar,x2[1],-0.1386209681998692,
2,markov_ar,x3[1],0.03938459374139294,
2,markov_ar,sigma2[0],0.3816224861723006,
2,markov_ar,sigma2[1],3.3545813652710827,
2,markov_ar,ar.L1[0],-0.28734778262817073,0.5558241487774401
2,markov_ar,ar.L1[1],-0.3364478605396267,0.636316431268115
5,markov_ar,p[0->0],0.9732353567951318,
5,markov_ar,p[1->0],0.07867338047942761,
5,markov_ar,const[0],-0.005074691201086745,
5,markov_ar,const[1],-0.0076307636080994255,
5,markov_ar,x1[1],-0.011266215013239043,
5,markov_ar,x2[1],0.03708290579493121,
5,markov_ar,x3[1],0.1203250958819217,
5,markov_ar,sigma2[0],0.15808161534342924,
5,markov_ar,sigma2[1],1.4483609750982245,
5,markov_ar,ar.L1[0],-0.16714511709033597,0.38747271487684987
5,markov_ar,ar.L1[1],-0.3900606846206541,0.7362525979511594
10,markov_ar,p[0->0],0.9696819458595612,
10,markov_ar,p[1->0],0.10614349570780195,
10,markov_ar,const[0],-0.0010665103105636405,
10,markov_ar,const[1],-0.003225478578683798,
10,markov_ar,x1[1],0.03893380530514304,
10,markov_ar,x2[1],0.039544137000871823,
10,markov_ar,x3[1],-0.027268362239167857,
10,markov_ar,sigma2[0],0.16664571080683363,
10,markov_ar,sigma2[1],2.204280194204815,
10,markov_ar,ar.L1[0],-0.16700141277973288,0.38728650149491034
10,markov_ar,ar.L1[1],-0.3899040625504246,0.7359386548227804
20,markov_ar,p[0->0],0.7794637481626729,
20,markov_ar,p[1->0],0.062234178028004364,
20,markov_ar,const[0],0.2752547908281651,
20,markov_ar,const[1],-0.21475746630186754,
20,markov_ar,x1[1],-0.008304694057848757,
20,markov_ar,x2[1],-0.08200720149660491,
20,markov_ar,x3[1],0.0890726599237231,
20,markov_ar,sigma2[0],10.523790909740699,
20,markov_ar,sigma2[1],1.0055818637090634,
20,markov_ar,ar.L1[0],0.8452717464165456,4.12349255045235
20,markov_ar,ar.L1[1],0.9535469808644111,14.572145711702962
