# Diagnostic statistics for state-space innovations (Ljung-Box and ARCH LM)
tenor,test,stat,pvalue
2,Ljung-Box p(5),9.848278529567878,0.07965013745689556
2,Ljung-Box p(21),63.75506498774431,3.3954095462544223e-06
2,ARCH LM p,247.53004158207023,1.8622926005601173e-51
5,Ljung-Box p(5),14.572098073153994,0.012356061378554226
5,Ljung-Box p(21),79.66819522293956,9.173950675960622e-09
5,ARCH LM p,712.724541524424,8.70683616336567e-152
10,Ljung-Box p(5),13.54027956260204,0.018809023563171906
10,Ljung-Box p(21),71.56167296429894,1.970257595939003e-07
10,ARCH LM p,593.703515674094,4.6375169861994897e-126
20,Ljung-Box p(5),5.39220209285497,0.36991113247916707
20,Ljung-Box p(21),37.66766567462034,0.014093309966926733
20,ARCH LM p,286.4950268271273,8.006256332174516e-60
