date,CIP_basis_USDJPY,CIP_basis_EURUSD
2010-01-04,-14.9,-9.9
2010-01-05,-14.861580034531478,-9.857443352695796
2010-01-06,-14.825169593469836,-9.816905409576338
2010-01-07,-14.790793960082205,-9.778420622930772
2010-01-08,-14.758441323868816,-9.741986329780314
2010-01-11,-14.72806425372061,-9.707564214312058
2010-01-12,-14.699581849523291,-9.675082448791176
2010-01-13,-14.67288252548286,-9.644438466237323
2010-01-14,-14.647827366245487,-9.615502305948482
2010-01-15,-14.624253985851542,-9.588120461922795
2010-01-18,-14.601980809914371,-9.562120154579315
2010-01-19,-14.580811693335887,-9.537313938100224
2010-01-20,-14.560540779519712,-9.513504549365548
2010-01-21,-14.540957502541385,-9.490489899950148
2010-01-22,-14.521851631170357,-9.468068110087833
2010-01-25,-14.503018253059473,-9.446042482928341
2010-01-26,-14.4842625988339,-9.424226318829103
2010-01-27,-14.465404609194895,-9.4024474728069
2010-01-28,-14.446283153436609,-9.3805525635574
2010-01-29,-14.42675981485272,-9.358410749528746
2010-02-01,-14.406722167244242,-9.33591699627004
2010-02-02,-14.386086476959575,-9.31299476949492
2010-02-03,-14.36479977640162,-9.289598099804127
2010-02-04,-14.34284126749967,-9.265712977573637
2010-02-05,-14.32022302701929,-9.241358049890243
2010-02-08,-14.296989999509819,-9.216584605342726
2010-02-09,-14.27321927789364,-9.191475846681008
2010-02-10,-14.249018685905765,-9.16614546555998
2010-02-11,-14.224524690518798,-9.140735547510829
2010-02-12,-14.19989968586376,-9.115413848658086
2010-02-15,-14.175328702720108,-9.090370498263088
2010-02-16,-14.151015609152171,-9.065814192678209
2010-02-17,-14.127178878088662,-9.04196795651553
2010-02-18,-14.104047006376737,-9.019064555567995
2010-02-19,-14.08185367692034,-8.997341653099307
2010-02-22,-14.060832760795655,-8.977036806401422
2010-02-23,-14.041213259619512,-8.958382403901501
2010-02-24,-14.02321428986317,-8.941600644516226
2010-02-25,-14.00704021022453,-8.926898660371961
2010-02-26,-13.992875990607136,-8.914463881444098
2010-03-01,-13.980882916753036,-8.904459736167428
2010-03-02,-13.971194718225046,-8.897021775717558
2010-03-03,-13.963914199355576,-8.892254301584662
2010-03-04,-13.959110443129607,-8.890227566411031
2010-03-05,-13.956816646936595,-8.89097560703074
2010-03-08,-13.957028636923477,-8.894494756446854
2010-03-09,-13.959704094546243,-8.900742868346535
2010-03-10,-13.964762515105509,-8.909639273942147
2010-03-11,-13.972085903831175,-8.921065476705671
2010-03-12,-13.98152020072904,-8.934866576211311
2010-03-15,-13.992877411197474,-8.950853398096026
2010-03-16,-14.005938405641777,-8.96880529336692
2010-03-17,-14.020456338225788,-8.988473557196084
2010-03-18,-14.036160622759999,-9.009585405202744
2010-03-19,-14.052761392769472,-9.031848434266431
2010-03-22,-14.069954363227179,-9.05495548535671
2010-03-23,-14.087426003465488,-9.078589817891928
2010-03-24,-14.104858924546633,-9.10243049890715
2010-03-25,-14.121937380004058,-9.126157905942136
2010-03-26,-14.138352776446538,-9.14945924014004
2010-03-29,-14.153809090094416,-9.17203394562442
2010-03-30,-14.168028086900925,-9.193598932805646
2010-03-31,-14.180754247472501,-9.213893506828244
2010-04-01,-14.19175930347156,-9.232683907840082
2010-04-02,-14.200846299458853,-9.249767377037498
2010-04-05,-14.207853103069581,-9.264975671377375
2010-04-06,-14.212655296845982,-9.278177960275194
2010-04-07,-14.21516839676721,-9.289283049326064
2010-04-08,-14.215349355298638,-9.298240888866612
2010-04-09,-14.213197320380306,-9.30504333879292
2010-04-12,-14.208753635924491,-9.309724175199726
2010-04-13,-14.202101083822148,-9.312358338835418
2010-04-14,-14.193362381887574,-9.313060439796871
2010-04-15,-14.1826979663211,-9.31198254703808
2010-04-16,-14.170303100867013,-9.309311304863918
2010-04-19,-14.156404367625314,-9.30526443136129
2010-04-20,-14.14125560619412,-9.300086665437883
2010-04-21,-14.125133378247808,-9.294045239566895
2010-04-22,-14.108332043593348,-9.287424964272974
2010-04-23,-14.091158541020656,-9.280523017667946
2010-04-26,-14.073926972732645,-9.27364353881431
2010-04-27,-14.05695309470126,-9.267092127255022
2010-04-28,-14.040548816879781,-9.261170352631673
2010-04-29,-14.02501681677878,-9.256170377890188
2010-04-30,-14.010645367493385,-9.252369797153108
2010-05-03,-13.997703476900435,-9.250026784968279
2010-05-04,-13.986436428512242,-9.24937564741169
2010-05-05,-13.977061806500839,-9.25062285754913
2010-05-06,-13.969766077848849,-9.253943648203458
2010-05-07,-13.96470179362722,-9.259479224018124
2010-05-10,-13.961985459259719,-9.267334642667102
2010-05-11,-13.961696110546036,-9.27757740197323
2010-05-12,-13.963874618434962,-9.290236755916201
2010-05-13,-13.968523731334118,-9.305303768306638
2010-05-14,-13.975608849390856,-9.322732098550334
2010-05-17,-13.985059510958205,-9.342439499706153
2010-05-18,-13.996771557648113,-9.364309995229108
2010-05-19,-14.010609931239152,-9.388196687655128
2010-05-20,-14.026412043503633,-9.413925140281515
2010-05-21,-14.043991648985926,-9.441297261864035
2010-05-24,-14.063143141114509,-9.470095614702014
