model,term,estimate,std_error,t_stat,p_value
FE-OLS,const,-60.52859856395861,127.06160886032983,-0.47637204586708465,0.6338093462607055
FE-OLS,L1_bid_ask_spread,-333.3400964652504,306.52466413938174,-1.087482135903019,0.2768237892570048
FE-OLS,L1_pubout,-7.300689065226696e-06,1.3698037185111093e-05,-0.5329733717734456,0.5940520133163756
FE-OLS,L1_n_issues,-0.6587576545373053,0.565487123502741,-1.1649383817209273,0.24404393577301253
FE-OLS,L1_liq_hhi,1126.9031347188343,2510.9233312830506,0.4488002961615721,0.6535757250778864
FE-OLS,L1_issue_conc_top3,199.50079098704188,368.1113695135702,0.541957699515411,0.587847646607422
FE-OLS,L1_liquidity_z,1.2010903885058306,1.3686786750211757,0.8775546886395726,0.3801854280354917
FE-OLS,tenor_2,140.39524829112233,134.58664403334348,1.0431588461061545,0.29687473012962995
FE-OLS,tenor_20,-78.61682283375964,20.106995657395736,-3.9099238977973756,9.232520370834404e-05
FE-OLS,tenor_5,59.6766166423715,101.5967383479386,0.5873871308545049,0.5569437348898729
FE-OLS,month_2010-05,7.42792459768517,16.975201053978246,0.43757505870272967,0.6616943545645371
FE-OLS,month_2010-06,27.441512957976418,15.682919171073333,1.7497707320070521,0.08015788292016097
FE-OLS,month_2010-07,62.27254033350104,37.555135917716655,1.6581630930571054,0.09728455190137776
FE-OLS,month_2010-08,60.99353925055042,31.233509003472275,1.9528237843455143,0.0508404792219642
FE-OLS,month_2010-09,19.05254771829964,14.660638948642248,1.2995714433076695,0.19374789240408596
FE-OLS,month_2010-10,15.92117442511118,15.562560959069142,1.0230433453070624,0.30628735205593327
FE-OLS,month_2010-11,40.0480857629898,29.780586207131073,1.34477157314654,0.17869901295367852
FE-OLS,month_2010-12,36.47042876274036,15.161876102769478,2.405403428674546,0.01615462100932255
FE-OLS,month_2011-01,28.1204721482131,14.399152593924546,1.9529254909124312,0.050828424688071305
FE-OLS,month_2011-02,22.862534911597375,15.168698984906266,1.507217918580026,0.1317548087705362
FE-OLS,month_2011-03,44.16471869116233,19.576382631184398,2.2560204059768267,0.024069353196958302
FE-OLS,month_2011-04,22.877005409861685,15.94680835543203,1.4345820743540192,0.15140622571520382
FE-OLS,month_2011-05,17.562580247681197,17.730618988240142,0.9905226805296309,0.32191870896433694
FE-OLS,month_2011-06,48.02152256347696,20.184540288590508,2.3791239174578354,0.01735384107090182
FE-OLS,month_2011-07,29.486088263599683,17.090017538942924,1.7253398480375988,0.08446624470009516
FE-OLS,month_2011-08,30.8560675834989,18.187490520905836,1.6965544283325404,0.0897809317436584
FE-OLS,month_2011-09,49.64554027803679,16.167261435172854,3.0707451894128415,0.0021352528989928396
FE-OLS,month_2011-10,35.30895416903141,20.601677218944783,1.713887359450627,0.08654941500782738
FE-OLS,month_2011-11,30.047516648649193,19.957789168979037,1.5055533653673878,0.13218186768143877
FE-OLS,month_2011-12,28.14800777390402,20.348946283342148,1.38326611029222,0.16658328533392475
FE-OLS,month_2012-01,34.87315976430078,22.494135095177704,1.5503223225407272,0.12106417211553756
FE-OLS,month_2012-02,29.73711709873332,20.49589415578125,1.4508816679434993,0.1468128134204677
FE-OLS,month_2012-03,39.9744950274133,17.332309699531866,2.3063570707193732,0.02109068864554068
FE-OLS,month_2012-04,31.35571149542578,22.167785231954344,1.4144719992246793,0.15722336315067229
FE-OLS,month_2012-05,34.53081338835661,20.62936372874811,1.6738671072165012,0.0941567199595019
FE-OLS,month_2012-06,32.661966348707516,21.385104809857108,1.5273231830808014,0.12668066745579573
FE-OLS,month_2012-07,34.87830439047337,20.975750424326506,1.662791732591529,0.09635413211868124
FE-OLS,month_2012-08,33.62962406370603,21.711940373611633,1.548899982452926,0.12140576517599139
FE-OLS,month_2012-09,29.226838963856064,22.982267818589087,1.2717125739965527,0.20347526136003047
FE-OLS,month_2012-10,31.618460066276064,22.23632801316083,1.4219281190474575,0.15504711919662648
FE-OLS,month_2012-11,31.973909206259503,21.10096613646905,1.5152817648002674,0.12970106424431713
FE-OLS,month_2012-12,28.22511466753773,20.632960342787968,1.3679624347944583,0.17132383489207503
FE-OLS,month_2013-01,102.50289243265615,64.54352218198464,1.5881205265439746,0.11225908755791723
FE-OLS,month_2013-02,145.46855437422622,111.69095737105717,1.3024201582492831,0.19277279524281454
FE-OLS,month_2013-03,62.8214265059294,22.417479086560633,2.8023412562740426,0.005073317715664743
FE-OLS,month_2013-04,60.18675097093438,19.85594654733687,3.0311700742872305,0.002436079880354633
FE-OLS,month_2013-05,38.159722058137724,21.762178195490126,1.753488171788141,0.07951824808126147
FE-OLS,month_2013-06,102.33778084972471,46.58504076145586,2.1967949190762175,0.028035096116365014
FE-OLS,month_2013-07,104.86560496838024,32.72480818215229,3.2044681326985645,0.0013531226863481684
FE-OLS,month_2013-08,46.95084478573762,20.840566625601536,2.2528583617328803,0.02426808096541762
FE-OLS,month_2013-09,35.681896431097805,22.078988920668728,1.6161019220266484,0.10607227876242363
FE-OLS,month_2013-10,35.69505659470877,25.30209587201099,1.4107549341078263,0.15831688684272538
FE-OLS,month_2013-11,35.02182655825175,27.861360595820628,1.2570034560159002,0.20875238413823116
FE-OLS,month_2013-12,34.28722880929746,28.133714240032475,1.2187238598062153,0.22294901883119156
FE-OLS,month_2014-01,40.144254300012506,25.855355447896688,1.5526475503657486,0.12050735908415909
FE-OLS,month_2014-02,40.99818154240817,26.40010299353309,1.552955363562445,0.12043379877774003
FE-OLS,month_2014-03,41.27325366692425,28.325511494760192,1.457105326220118,0.14508730838493653
FE-OLS,month_2014-04,42.101146497917995,29.51629275453698,1.4263697290184447,0.15376164672828263
FE-OLS,month_2014-05,39.69987515896566,30.52058396135783,1.3007573907900893,0.19334151096265606
FE-OLS,month_2014-06,63.69322038369,22.487114606617144,2.8324318836773923,0.004619540739388498
FE-OLS,month_2014-07,88.37238834907707,34.90669395185446,2.5316745398738107,0.011351930392209157
FE-OLS,month_2014-08,90.20420417186027,37.50811950092603,2.4049247302209658,0.016175797093381235
FE-OLS,month_2014-09,199.8619078334346,153.25582836797363,1.304106407970063,0.19219730436365
FE-OLS,month_2014-10,74.99405662724422,30.638596036595146,2.4476988611903208,0.01437717624279113
FE-OLS,month_2014-11,58.3004637678901,32.48538978117886,1.7946672076463057,0.07270673819737185
FE-OLS,month_2014-12,65.82406432641199,30.79735481691764,2.1373285049225537,0.03257128196894817
FE-OLS,month_2015-01,110.73855321711507,54.5466471191662,2.0301624218109744,0.04234003218665342
FE-OLS,month_2015-02,68.49320219452333,29.981204697700566,2.284538025911163,0.022339930444265795
FE-OLS,month_2015-03,93.86889036667925,35.99272071474352,2.6079965199248805,0.009107388029292843
FE-OLS,month_2015-04,60.4812046197347,27.207056491890025,2.222996987482389,0.026216003109504192
FE-OLS,month_2015-05,63.35593379313481,32.93131090529723,1.923881316942763,0.054369461583559146
