maturity,date,nominal_yield,inflation,real_yield,nominal_discount,real_discount
1.0,2020-01-01,0.0155,0.019961370563888012,-0.004461370563888012,0.9846195067517329,1.0044713372937886
2.0,2020-01-01,0.016,0.01988027754226638,-0.003880277542266379,0.9685065820791976,1.0077907462416544
3.0,2020-01-01,0.0165,0.01982274112777602,-0.0033227411277760195,0.9517051581364622,1.0100180716171345
4.0,2020-01-01,0.017,0.01977811241751318,-0.0027781124175131795,0.9342604735772135,1.0111744222819965
5.0,2020-01-01,0.017499999999999998,0.019741648106154388,-0.0022416481061543897,0.9162188716508777,1.0112712881896044
6.0,2020-01-01,0.018,0.019710817970188938,-0.0017108179701889395,0.8976275964304349,1.0103177727170136
7.0,2020-01-01,0.0185,0.019684111691664032,-0.0011841116916640332,0.8785345884162464,1.008323228902806
8.0,2020-01-01,0.019,0.019660555084532755,-0.000660555084532756,0.8589882807411234,1.0052984279603632
9.0,2020-01-01,0.0195,0.01963948298140119,-0.00013948298140118928,0.8390373971734638,1.0012561351102651
10.0,2020-01-01,0.02,0.019620420945440326,0.00037957905455967417,0.8187307530779818,0.9962114043610046
11.0,2020-01-01,0.020499999999999997,0.0196030186700424,0.0008969813299575975,0.798117060447891,0.990181722488002
12.0,2020-01-01,0.020999999999999998,0.019587010128507693,0.0014129898714923053,0.7772447380689461,0.9831870634073362
13.0,2020-01-01,0.0215,0.019572188534076947,0.0019278114659230516,0.7561617278151685,0.9752498844703036
14.0,2020-01-01,0.022,0.019558389959779557,0.002441610040220442,0.7349153180090687,0.9663950822333994
15.0,2020-01-01,0.0225,0.019545482255552044,0.002954517744447955,0.7135519747065026,0.9566499181915105
16.0,2020-01-01,0.023,0.019533357331188758,0.0034666426688112414,0.6921171816887304,0.9460439211784593
17.0,2020-01-01,0.0235,0.019521925648420767,0.003978074351579233,0.6706552898626296,0.9346087710181928
18.0,2020-01-01,0.024,0.019511112204166712,0.004488887795833289,0.6492093766851474,0.9223781667757914
19.0,2020-01-01,0.0245,0.0195008535452892,0.0049991464547108,0.6278211161408496,0.9093876822165183
20.0,2020-01-01,0.025,0.019491095512455314,0.005508904487544687,0.6065306597126334,0.8956746106238074
21.0,2020-01-01,0.025500000000000002,0.019481791509328338,0.006018208490671664,0.5853765286961827,0.8812778008370646
22.0,2020-01-01,0.026,0.01947290115681417,0.006527098843185829,0.5643955181193584,0.8662374861804624
23.0,2020-01-01,0.0265,0.019464389233930412,0.007035610766069587,0.543622612439217,0.8505951078247472
24.0,2020-01-01,0.027,0.019456224835026358,0.0075437751649736415,0.5230909131025008,0.83439313403118
25.0,2020-01-01,0.0275,0.019448380692395704,0.008051619307604296,0.5028315779709409,0.8176748766549328
26.0,2020-01-01,0.028,0.019440832626799135,0.008559167373200866,0.48287377253122976,0.8004843062249771
27.0,2020-01-01,0.028499999999999998,0.01943355909796496,0.009066440902035039,0.46324463273166455,0.7828658668625558
28.0,2020-01-01,0.028999999999999998,0.019426540834002706,0.009573459165997292,0.44396923921378006,0.7648642922467864
29.0,2020-01-01,0.0295,0.01941976052366757,0.01008023947633243,0.42507060263827295,0.7465244237813128
30.0,2020-01-01,0.03,0.01941320255910297,0.01058679744089703,0.40656965974059917,0.7278910320586593
1.0,2020-01-02,0.015752441295442367,0.019915400794474826,-0.0041629594990324585,0.9843709794985215,1.0041716366516278
2.0,2020-01-02,0.016252441295442368,0.019834307772853194,-0.0035818664774108257,0.9680177233852549,1.0071894538723236
3.0,2020-01-02,0.01675244129544237,0.019776771358362834,-0.003024330062920466,0.9509846819388169,1.0091142745272506
4.0,2020-01-02,0.01725244129544237,0.019732142648099995,-0.002479701352657626,0.933317566018021,1.0099681598049277
5.0,2020-01-02,0.017752441295442366,0.019695678336741202,-0.0019432370412988363,0.9150631437935687,1.0097635405809116
6.0,2020-01-02,0.018252441295442366,0.019664848200775752,-0.0014124069053333861,0.8962690359208828,1.0085104511596925
7.0,2020-01-02,0.018752441295442367,0.019638141922250846,-0.0008857006268084798,0.876983510399232,1.0062191635760038
8.0,2020-01-02,0.019252441295442367,0.01961458531511957,-0.0003621440196772026,0.8572552783407311,1.0029013529585362
9.0,2020-01-02,0.019752441295442368,0.019593513211988003,0.0001589280834543641,0.8371332918419943,0.9985706697158527
10.0,2020-01-02,0.020252441295442368,0.01957445117602714,0.0006779901194152275,0.8166665451116002,0.9932430304818491
11.0,2020-01-02,0.020752441295442365,0.019557048900629214,0.001195392394813151,0.7959038799586572,0.9869367582302231
12.0,2020-01-02,0.021252441295442365,0.019541040359094507,0.0017114009363478587,0.7748937966922294,0.9796726328500872
13.0,2020-01-02,0.021752441295442366,0.01952621876466376,0.002226222530778605,0.75368427141887,0.971473883773521
14.0,2020-01-02,0.022252441295442366,0.01951242019036637,0.0027400211050759953,0.732322580656736,0.9623661422574019
15.0,2020-01-02,0.022752441295442367,0.01949951248613886,0.0032529288093035083,0.7108551341104831,0.9523773638447411
16.0,2020-01-02,0.023252441295442367,0.019487387561775572,0.003765053733666795,0.6893273163721761,0.9415377277400968
17.0,2020-01-02,0.023752441295442368,0.01947595587900758,0.004276485416434786,0.6677833382306129,0.929879517707529
