date,index_ratio
2020-01-01,1.0
2020-01-02,1.0002
2020-01-03,1.0004
2020-01-04,1.0006
2020-01-05,1.0008
2020-01-06,1.001
2020-01-07,1.0012
2020-01-08,1.0014
2020-01-09,1.0016
2020-01-10,1.0018
2020-01-11,1.002
2020-01-12,1.0022
2020-01-13,1.0024
2020-01-14,1.0026
2020-01-15,1.0028
2020-01-16,1.003
2020-01-17,1.0032
2020-01-18,1.0034
2020-01-19,1.0036
2020-01-20,1.0038
2020-01-21,1.004
2020-01-22,1.0042
2020-01-23,1.0044
2020-01-24,1.0046
2020-01-25,1.0048
2020-01-26,1.005
2020-01-27,1.0052
2020-01-28,1.0054
2020-01-29,1.0056
2020-01-30,1.0058
2020-01-31,1.006
2020-02-01,1.0062
2020-02-02,1.0064
2020-02-03,1.0066
2020-02-04,1.0068
2020-02-05,1.007
2020-02-06,1.0072
2020-02-07,1.0074
2020-02-08,1.0076
2020-02-09,1.0078
2020-02-10,1.008
2020-02-11,1.0082
2020-02-12,1.0084
2020-02-13,1.0086
2020-02-14,1.0088
2020-02-15,1.009
2020-02-16,1.0092
2020-02-17,1.0094
2020-02-18,1.0096
2020-02-19,1.0098
2020-02-20,1.01
2020-02-21,1.0102
2020-02-22,1.0104
2020-02-23,1.0106
2020-02-24,1.0108
2020-02-25,1.011
2020-02-26,1.0112
2020-02-27,1.0114
2020-02-28,1.0116
2020-02-29,1.0118
2020-03-01,1.012
2020-03-02,1.0122
2020-03-03,1.0124
2020-03-04,1.0126
2020-03-05,1.0128
2020-03-06,1.013
2020-03-07,1.0132
2020-03-08,1.0134
2020-03-09,1.0136
2020-03-10,1.0138
2020-03-11,1.014
2020-03-12,1.0142
2020-03-13,1.0144
2020-03-14,1.0146
2020-03-15,1.0148
2020-03-16,1.015
2020-03-17,1.0152
2020-03-18,1.0154
2020-03-19,1.0156
2020-03-20,1.0158
2020-03-21,1.016
2020-03-22,1.0162
2020-03-23,1.0164
2020-03-24,1.0166
2020-03-25,1.0168
2020-03-26,1.017
2020-03-27,1.0172
2020-03-28,1.0174
2020-03-29,1.0176
2020-03-30,1.0178
2020-03-31,1.018
